Designator,Mid X,Mid Y,Rotation,Layer
D1,89.0,-82.0,90.0,bottom
D10,143.0,-99.0,90.0,bottom
D11,161.0,-99.0,90.0,bottom
D12,179.0,-99.0,90.0,bottom
D13,89.0,-128.0,90.0,bottom
D14,107.0,-128.0,90.0,bottom
D15,125.0,-128.0,90.0,bottom
D2,107.0,-82.0,90.0,bottom
D3,125.0,-82.0,90.0,bottom
D4,143.0,-82.0,90.0,bottom
D5,161.0,-82.0,90.0,bottom
D6,179.0,-82.0,90.0,bottom
D7,89.0,-99.0,90.0,bottom
D8,107.0,-99.0,90.0,bottom
D9,125.0,-99.0,90.0,bottom
S1,80.0,-80.0,0.0,top
S10,134.0,-97.0,0.0,top
S11,152.0,-97.0,0.0,top
S12,170.0,-97.0,0.0,top
S13,80.0,-126.0,0.0,top
S14,98.0,-126.0,0.0,top
S15,116.0,-126.0,0.0,top
S2,98.0,-80.0,0.0,top
S3,116.0,-80.0,0.0,top
S4,134.0,-80.0,0.0,top
S5,152.0,-80.0,0.0,top
S6,170.0,-80.0,0.0,top
S7,80.0,-97.0,0.0,top
S8,98.0,-97.0,0.0,top
S9,116.0,-97.0,0.0,top
U1,54.0,-90.0,0.0,top
U2,47.75,-114.0,90.0,top
