Designator,Mid X,Mid Y,Rotation,Layer
D1,89.0,-83.19,90.0,bottom
D10,143.0,-100.19,90.0,bottom
D11,161.0,-100.19,90.0,bottom
D12,179.0,-100.19,90.0,bottom
D13,89.0,-129.19,90.0,bottom
D14,107.0,-129.19,90.0,bottom
D15,125.0,-129.19,90.0,bottom
D2,107.0,-83.19,90.0,bottom
D3,125.0,-83.19,90.0,bottom
D4,143.0,-83.19,90.0,bottom
D5,161.0,-83.19,90.0,bottom
D6,179.0,-83.19,90.0,bottom
D7,89.0,-100.19,90.0,bottom
D8,107.0,-100.19,90.0,bottom
D9,125.0,-100.19,90.0,bottom
S1,79.9,-79.725,0.0,top
S10,133.9,-96.725,0.0,top
S11,151.9,-96.725,0.0,top
S12,169.9,-96.725,0.0,top
S13,79.9,-125.725,0.0,top
S14,97.9,-125.725,0.0,top
S15,115.9,-125.725,0.0,top
S2,97.9,-79.725,0.0,top
S3,115.9,-79.725,0.0,top
S4,133.9,-79.725,0.0,top
S5,151.9,-79.725,0.0,top
S6,169.9,-79.725,0.0,top
S7,79.9,-96.725,0.0,top
S8,97.9,-96.725,0.0,top
S9,115.9,-96.725,0.0,top
U1,54.0,-89.27,0.0,top
U2,51.6375,-114.0,90.0,top
